id,story,answers,
A3arSnWJYF,กฤษจาใช้มีดโจมตีและยิงฆ่าในงานเลี้ยงที่โรงแรม ขณะที่กะวินฉ้อโกงเงินลงทุนผ่านเอกสารปลอม,"[  {    ""กฤษจา"": [      5,      7    ]  },  {    ""กะวิน"": [      6    ]  }]",
IFu9PpuDTE,กชพงศ์ซักผ้าแล้วปล่อยน้ำทิ้งลงทางเดิน ทำให้คนลื่นล้ม,[{'กชพงศ์': [3]}],
GJ2VUf6gBS,จาบีนซาฟาร์ขับรถไล่ตามจรัญญาณีที่กำลังเดินอยู่ริมถนน ก่อนจะชนเขาอย่างจงใจจนกระเด็นและเสียชีวิต,"[{""จาบีนซาฟาร์"": [5,7]}, {""จรัญญาณี"": [1]}]",
eyiWakHVhk,ในงานแสดงสินค้า ณ ห้างใหญ่ จิตรวัณลอบบุกรุกเข้าพื้นที่ VIP เพื่อขโมยเครื่องประดับ แล้วยิงผู้ที่เข้ามายืนตามแถว,"[  {    ""จิตรวัณ"": [2, 4, 5, 7]  }]",
mC3hc4BFkO,ขวัญอรุณขโมยของจากร้านค้าโดยบุกรุกเข้ามาทางหลัง,"[{'ขวัญอรุณ': [2, 4]}]",
ZHFiV3JAza,จิรวรรตน์ขับรถเมาแล้วชนกันในงานเทศกาล ทำให้รถคู่กรณีเสียหาย,"[{""จิรวรรตน์"": [3, 2]}, {""คู่กรณี"": [1]}]",
shBsU74RrH,กานต์สุนัยและเจตน์เจริญวางแผนบุกรุกโกดังกลางดึก ลักทรัพย์เครื่องใช้ไฟฟ้า และใช้มีดขู่ยามรักษาความปลอดภัย,"[  {""กานต์สุนัย"": [2, 4, 5]},  {""เจตน์เจริญ"": [2, 4, 5]}]",
uN4xKPkjsH,กรชพรบุกรุกบ้านกลางคืนและข่มขู่เจ้าของบ้านให้เปิดตู้เซฟ จิตต์จูนขนของออกจากบ้าน,"[  {""กรชพร"": [4, 2]},  {""จิตต์จูน"": [2]}]",
RnZN8TxHMq,เกษกาญขับรถเร็วเกินกฎหมายบนทางหลวงจนประสบอุบัติเหตุชนรถตุ๊กตุ๊ก ส่งผลให้ผู้เดินถนนเสียชีวิต,"[{""เกษกาญ"": [3,7]}, {""ผู้เดินถนน"": [1]}]",
EDn7v7VU27,เขตรชาขับรถเมาแล้วชนรถบัสในงานคอนเสิร์ต ทำให้เกิดความเสียหายและบาดเจ็บ,"[{'เขตรชา': [3, 5]}]",
ikHT1EauAl,กรนิศาใช้มีดฆ่ากิจสุพัฒน์ขณะที่กิตรดาขโมยเงินสดจากตู้อัตโนมัติในห้าง,"[  {    ""กรนิศา"": [      5,      7    ]  },  {    ""กิจสุพัฒน์"": [      1    ]  },  {    ""กิตรดา"": [      2    ]  }]",
jEeatSmmSg,เจษฎาพรรณยิงฆ่าผู้จัดการโรงแรม ขณะที่จิตริรัตน์ลอบขโมยคีย์การ์ดและขโมยแฟ้มข้อมูล,"[  {    ""เจษฎาพรรณ"": [      5,      7    ]  },  {    ""จิตริรัตน์"": [      2    ]  }]",
IDvgdNDMke,คชาเดชโพสต์หาหุ้นลงทุนที่กำไรสูงผิดปกติ ส่วนกาญติรัตน์แกล้งเป็นนักลงทุนที่ทำกำไรได้จริง หลอกจีระเด่นให้ลงทุนจนหมดตัว,"[  {    ""คชาเดช"": [      6    ]  },  {    ""กาญติรัตน์"": [      6    ]  },  {    ""จีระเด่น"": [      1    ]  }]",
wOJ4owOa7m,กุลจรรยาบุกรุกข่มขู่พนักงานโรงแรมให้เปิดเซฟแล้วขโมยเงินสด เกศษรินทร์ที่มาด้วยกันบุกรุกเข้าห้องลูกค้าคนอื่นๆเพื่อขโมยทรัพย์สินเพิ่มเติม,"[  {    ""กุลจรรยา"": [      2,      4,      5    ]  },  {    ""เกศษรินทร์"": [      2,      4    ]  }]",
rs063BLUtx,เกศอนงค์ถูกคอลีฟะห์ขีดฆ่าออกจากชื่อในสภา,"[{'เกศอนงค์': [7]}, {'คอลีฟะห์': [5,7]}]",
NXz7qJIPQm,จณัตว์แอบเข้าไปในห้องพักของกิ้มเซ็นโดยใช้ไขควงงัดประตู และใช้ปืนขู่เพื่อหาข้อมูลส่วนตัว กิ้มเซ็นถูกชกจนปากแตก,"[  {    ""จณัตว์"": [      2,      5    ]  },  {    ""กิ้มเซ็น"": [      3    ]  }]",
eLjgUnrlqK,จฬิน บุกรุกบ้านจุ่งเล้ง  ขุดหาสมบัติแต่กลับเจอร่างกรรณฐิมา รีบหนีจนลืมเก็บหลักฐาน ตำรวจแจ้งความผิดว่าบุกรุกและฆาตรกรรม,"[  {""จฬิน"": [4, 7]},  {""จุ่งเล้ง"": [1]},  {""กรรณฐิมา"": [1]}]",
giZHLPXyvK,จาตุกัญจน์ใช้มีดโจมตีผู้คนในงานเลี้ยงและฉ้อโกงเงินจากลูกค้าผ่านออนไลน์ ขณะที่เง็กบ๊วยบุกรุกเข้าร้านและขโมยของมีค่า,"[  {    ""จาตุกัญจน์"": [      5,      6,      7    ]  },  {    ""เง็กบ๊วย"": [      2,      4    ]  }]",
X2LMr9ZV3N,คณาณัฎขับรถเลี้ยวโดยไม่เปิดไฟเลี้ยว ส่วนจรัลรัฐขับรถด้วยความเร็วเกินกำหนด ทั้งสองชนกัน ทำให้คนขับรถจักรยานยนต์ที่อยู่ใกล้เคียงเสียชีวิต,"[  {    ""คณาณัฎ"": [      3,      7    ]  },  {    ""จรัลรัฐ"": [      3,      7    ]  }]",
Q6EnkaYonf,คณาธิปศาตนันทน์ลอบบุกรุกเข้าศูนย์ข้อมูลของบริษัทกลางดึกและขโมยฮาร์ดไดรฟ์เก็บข้อมูลสำคัญ ขณะที่กนกทัศน์ปลอมลายเซ็นในเอกสารโอนเงินเพื่อฉ้อโกงประชาชน,"[  {    ""คณาธิปศาตนันทน์"": [      2,      4    ]  },  {    ""กนกทัศน์"": [      6    ]  }]",
7ZNjjkE3au,คมยศใช้เอกสารปลอมรับเงินค่าประกันสังคม และขู่เจ้าหน้าที่ให้เร่งอนุมัติด้วยมีดพก ขณะจิระวัฒขโมยคอมพิวเตอร์ในสำนักงานที่ตัวเองทำงานอยู่,"[  {    ""คมยศ"": [      6,      5    ]  },  {    ""จิระวัฒ"": [      2    ]  }]",
e5diGZCBQE,จุรีย์พรรณกับขวัญฐิติขโมยของจากงานเทศกาลร่วมกัน,"[{""จุรีย์พรรณ"": [2], ""ขวัญฐิติ"": [2]}]",
utGWhpJzyX,จิรอุษาบุกรุกเข้าร้านแล้วฉ้อโกงลูกค้า,"[{""จิรอุษา"": [2, 6, 4]}]",
yTEwt1HuHf,ขวัญอุดมณ์ฉ้อโกงบริษัทด้วยอีเมลปลอม,[{'ขวัญอุดมณ์': [6]}],
4M1n9k8O1r,จินตภาลอบบุกรุกเข้ามาในมหาวิทยาลัยและขโมยสมุดสำคัญออกไปอย่างไร้ร่องรอย,"[{'จินตภาล': [2,4]}]",
Tj1BJCFSYq,จิตพรขโมยสินค้าจากร้านค้าท้องถิ่นด้วยการบุกรุกเข้ามาทางด้านหลัง ขณะที่กัญคณิชขโมยของออกจากตลาดนัด,"[  {    ""จิตพร"": [2, 4]  },  {    ""กัญคณิช"": [2]  }]",
RhJ5BPwlb3,กฤรรัทบุกรุกเข้าไปในบ้านของเพื่อนและขโมยของมีค่าออกไป,"[{'กฤรรัท': [2,4]}]",
x2DXQwUBnN,ในงานเปิดตัวรถยนต์ใหม่ ณ ศูนย์นิทรรศการ แจคเกอรีนประมาทขับรถเร็วเกินกำหนดจนชนฝูงชนบริสุทธิ์ ทำให้หลายคนเสียชีวิต,"[{""แจคเกอรีน"": [3, 7]}]",
J468myxl7V,ก๋องคำผลักกษิดิ์พญาตกจากดาดฟ้าอาคารสูงจนเสียชีวิต,"[{'ก๋องคำ': [5,7]}, {'กษิดิ์พญา': [1]}]",
amCxHmaLtv,กรัณวิณัฐขโมยของจากร้านค้าท้องถิ่นโดยบุกรุกเข้ามาทางด้านหลัง ขณะที่กุสนธ์ขโมยโทรศัพท์มือถือจากผู้โดยสาร,"[  {    ""กรัณวิณัฐ"": [2, 4]  },  {    ""กุสนธ์"": [2]  }]",
g6x6qG6aMr,คูลริเห็นพระเอกละครถูกฆ่าตาย,"[{'คูลริ': [1]}, {'พระเอกละคร': [7]}]",
cPrPEzcSTq,จันต๊ะขับรถอย่างใจร้อนในงานเทศกาลและชนกับรถส่วนตัวที่มีผู้โดยสารบริสุทธิ์ จนอุบัติเหตุรุนแรงทำให้หลายชีวิตสูญเสีย,"[{'จันต๊ะ': [3,7]}, {'ผู้โดยสาร': [1]}]",
rOdK0b3T7E,เง็กเหี้ยงขับรถเมาแล้วชนคนเดินเท้าในงานเทศกาล ส่งผลให้ผู้เข้าร่วมได้รับบาดเจ็บ,"[  {    ""เง็กเหี้ยง"": [      3,      7    ]  },  {    ""คนเดินเท้า"": [      1    ]  }]",
MODFlEV3PW,จุฬาพันใช้รถโฟล์คลิฟท์โดยไม่มีใบอนุญาต ชนพนักงานเสียชีวิต,"[{'จุฬาพัน': [3,7]}]",
IZgcxbN5Tj,จิรธิปลืมล็อกบานหน้าต่างโรงเรียน ทำให้พัดลมเพดานหลุดร่วงลงมา,[{'จิรธิปลืม': [3]}],
TVl32ifA12,แก้วประครองไม่เก็บเศษวัสดุก่อสร้างไว้ให้เรียบร้อย ทำให้กมลไพศาลเดินสะดุดล้มบาดเจ็บ,"[  {    ""แก้วประครอง"": [      3    ]  },  {    ""กมลไพศาล"": [      1    ]  }]",
hdCOTdug2I,เกล็ดไพฑูรย์ขับรถเมาแล้วชนกับรถบรรทุก ส่งผลให้โครงสร้างรถได้รับความเสียหายรุนแรง,"[{'เกล็ดไพฑูรย์': [3, 5]}]",
r2mPNVbv1R,จอลน์จงใจทำให้เครื่องบินดับเครื่องกลางอากาศเป็นเหตุให้เกิดอุบัติเหตุ ขณะที่จีรณินทร์ที่มาจากไหนก็ไม่รู้ลักชิ้นส่วนอุปกรณ์นักบิน,"[  {    ""จอลน์"": [5, 7]  },  {    ""จีรณินทร์"": [2]  }]",
25u5Tk5LU8,กฤตย์ธวัชทำความสะอาดบ้านของตนเอง,[{'กฤตย์ธวัช': [1]}],
xHa8QzA1QQ,แก้วสุวรรณ จงใจตัดสายเบรครถยนต์ของจักรพรหม ผู้เป็นสามี หลังจากทำประกันอุบัติเหตุไว้ ทำให้จักรพรหม ชนเข้ากับฆฤณา ที่กำลังเดินเมาอยุ่ข้างทาง,"[  {""แก้วสุวรรณ"": [5,7]},  {""จักรพรหม"": [7]},  {""ฆฤณา"": [3]}]",
dem0WGjUrf,ง่วยกีขโมยรถยนต์จากที่จอดรถของเจ้าหน้าที่ในอาคาร โดยการเข้าไปแบบไม่ได้รับอนุญาต,"[{'ง่วยกี': [2, 4]}]",
lCcrMmSGAl,กัญลักษณ์เดินชมงานนิทรรศการศิลปะ,[{'กัญลักษณ์': [1]}],
OV118atrJw,ขรินทร์ใช้มีดข่มขู่และชิงทรัพย์ในตลาด,"[{'ขรินทร์': [2, 5]}]",
