Column1,Column2,Column3
jZOfgJkn38,กัณจนาเสนอขายประกันสุขภาพพิเศษปลอม ส่วนขวัญสุธาแกล้งเป็นผู้เคลมเงินได้จริงหลังล้มป่วย,"[{'กัณจนา':'[6]'},{'ขวัญสุธา':'[6]'}]"
FLpfjzN1EH,จรรยภาขับรถเร็วบนถนนในเมืองโดยประมาทจนชนกับรถของผู้โดยสาร ส่งผลให้มีคนบาดเจ็บและเสียชีวิตลง,"[{'จรรยภา':'[3,7]'}]"
U1KWodXFqA,จตุมาสปีนเข้าไปในหอพักของจรัสเรืองแล้วใช้เหล็กฟาดใส่หัวเธอจากด้านหลังจนสลบ,"[{'จรัสเรือง':'[1]'},{'จตุมาส':'[4,5]'}]"
tVv1jcuSKM,กระสันกำลังถอยรถในลานจอดห้างแต่ไม่ได้มองกระจกหลัง ชนใส่เจริญโชติที่เดินผ่าน,"[{'กระสัน':'[3]'},{'เจริญโชติ':'[1]'}]"
A3arSnWJYF,กฤษจาใช้มีดโจมตีและยิงฆ่าในงานเลี้ยงที่โรงแรม ขณะที่กะวินฉ้อโกงเงินลงทุนผ่านเอกสารปลอม,"[{'กฤษจา':'[5,7]'},{'กะวิน':'[6]'}]"
IFu9PpuDTE,กชพงศ์ซักผ้าแล้วปล่อยน้ำทิ้งลงทางเดิน ทำให้คนลื่นล้ม,[{'กชพงศ์':'[3]'}]
GJ2VUf6gBS,จาบีนซาฟาร์ขับรถไล่ตามจรัญญาณีที่กำลังเดินอยู่ริมถนน ก่อนจะชนเขาอย่างจงใจจนกระเด็นและเสียชีวิต,"[{'จาบีนซาฟาร์':'[5,7]'},{'จรัญญาณี':'[1]'}]"
eyiWakHVhk,ในงานแสดงสินค้า ณ ห้างใหญ่ จิตรวัณลอบบุกรุกเข้าพื้นที่ VIP เพื่อขโมยเครื่องประดับ แล้วยิงผู้ที่เข้ามายืนตามแถว,"[{'จิตรวัณ':'[2,4,5]'}]"
mC3hc4BFkO,ขวัญอรุณขโมยของจากร้านค้าโดยบุกรุกเข้ามาทางหลัง,"[{'ขวัญอรุณ':'[2,4]'}]"
ZHFiV3JAza,จิรวรรตน์ขับรถเมาแล้วชนกันในงานเทศกาล ทำให้รถคู่กรณีเสียหาย,[{'จิรวรรตน์':'[3]'}]
shBsU74RrH,กานต์สุนัยและเจตน์เจริญวางแผนบุกรุกโกดังกลางดึก ลักทรัพย์เครื่องใช้ไฟฟ้า และใช้มีดขู่ยามรักษาความปลอดภัย,"[{'กานต์สุนัย':'[2,4,5]'},{'เจตน์เจริญ':'[2,4,5]'}]"
uN4xKPkjsH,กรชพรบุกรุกบ้านกลางคืนและข่มขู่เจ้าของบ้านให้เปิดตู้เซฟ จิตต์จูนขนของออกจากบ้าน,"[{'กรชพร':'[2,4,5]'},{'จิตต์จูน':'[2]'}]"
RnZN8TxHMq,เกษกาญขับรถเร็วเกินกฎหมายบนทางหลวงจนประสบอุบัติเหตุชนรถตุ๊กตุ๊ก ส่งผลให้ผู้เดินถนนเสียชีวิต,"[{'เกษกาญ':'[3,7]'}]"
EDn7v7VU27,เขตรชาขับรถเมาแล้วชนรถบัสในงานคอนเสิร์ต ทำให้เกิดความเสียหายและบาดเจ็บ,[{'เขตรชา':'[3]'}]
ikHT1EauAl,กรนิศาใช้มีดฆ่ากิจสุพัฒน์ขณะที่กิตรดาขโมยเงินสดจากตู้อัตโนมัติในห้าง,"[{'กรนิศา':'[5,7]'},{'กิจสุพัฒน์':'[1]'},{'กิตรดา':'[2]'}]"
jEeatSmmSg,เจษฎาพรรณยิงฆ่าผู้จัดการโรงแรม ขณะที่จิตริรัตน์ลอบขโมยคีย์การ์ดและขโมยแฟ้มข้อมูล,"[{'เจษฎาพรรณ':'[5,7]'},{'จิตริรัตน์':'[2]'}]"
IDvgdNDMke,คชาเดชโพสต์หาหุ้นลงทุนที่กำไรสูงผิดปกติ ส่วนกาญติรัตน์แกล้งเป็นนักลงทุนที่ทำกำไรได้จริง หลอกจีระเด่นให้ลงทุนจนหมดตัว,"[{'คชาเดช':'[6]'},{'กาญติรัตน์':'[6]'},{'จีระเด่น':'[1]'}]"
wOJ4owOa7m,กุลจรรยาบุกรุกข่มขู่พนักงานโรงแรมให้เปิดเซฟแล้วขโมยเงินสด เกศษรินทร์ที่มาด้วยกันบุกรุกเข้าห้องลูกค้าคนอื่นๆเพื่อขโมยทรัพย์สินเพิ่มเติม,"[{'กุลจรรยา':'[2,4,5]'},{'เกศษรินทร์':'[2,4]'}]"
rs063BLUtx,เกศอนงค์ถูกคอลีฟะห์ขีดฆ่าออกจากชื่อในสภา,"[{'เกศอนงค์':'[1]'},{'คอลีฟะห์':'[1]'}]"
NXz7qJIPQm,จณัตว์แอบเข้าไปในห้องพักของกิ้มเซ็นโดยใช้ไขควงงัดประตู และใช้ปืนขู่เพื่อหาข้อมูลส่วนตัว กิ้มเซ็นถูกชกจนปากแตก,"[{'จณัตว์':'[4,5]'},{'กิ้มเซ็น':'[1]'}]"
eLjgUnrlqK,จฬิน บุกรุกบ้านจุ่งเล้ง  ขุดหาสมบัติแต่กลับเจอร่างกรรณฐิมา รีบหนีจนลืมเก็บหลักฐาน ตำรวจแจ้งความผิดว่าบุกรุกและฆาตรกรรม,"[{'กรรณฐิมา':'[1]'},{'จุ่งเล้ง':'[1]'},{'จฬิน':'[4,5,7]'}]"
giZHLPXyvK,จาตุกัญจน์ใช้มีดโจมตีผู้คนในงานเลี้ยงและฉ้อโกงเงินจากลูกค้าผ่านออนไลน์ ขณะที่เง็กบ๊วยบุกรุกเข้าร้านและขโมยของมีค่า,"[{'จาตุกัญจน์':'[5,6]'},{'เง็กบ๊วย':'[2,4]'}]"
X2LMr9ZV3N,คณาณัฎขับรถเลี้ยวโดยไม่เปิดไฟเลี้ยว ส่วนจรัลรัฐขับรถด้วยความเร็วเกินกำหนด ทั้งสองชนกัน ทำให้คนขับรถจักรยานยนต์ที่อยู่ใกล้เคียงเสียชีวิต,"[{'คณาณัฎ':'[3,7]'},{'จรัลรัฐ':'[3,7]'}]"
Q6EnkaYonf,คณาธิปศาตนันทน์ลอบบุกรุกเข้าศูนย์ข้อมูลของบริษัทกลางดึกและขโมยฮาร์ดไดรฟ์เก็บข้อมูลสำคัญ ขณะที่กนกทัศน์ปลอมลายเซ็นในเอกสารโอนเงินเพื่อฉ้อโกงประชาชน,"[{'คณาธิปศาตนันทน์':'[2,4]'},{'กนกทัศน์':'[6]'}]"
7ZNjjkE3au,คมยศใช้เอกสารปลอมรับเงินค่าประกันสังคม และขู่เจ้าหน้าที่ให้เร่งอนุมัติด้วยมีดพก ขณะจิระวัฒขโมยคอมพิวเตอร์ในสำนักงานที่ตัวเองทำงานอยู่,"[{'คมยศ':'[5,6]'},{'จิระวัฒ':'[2]'}]"
e5diGZCBQE,จุรีย์พรรณกับขวัญฐิติขโมยของจากงานเทศกาลร่วมกัน,"[{'จุรีย์พรรณ':'[2]'},{'ขวัญฐิติ':'[2]'}]"
utGWhpJzyX,จิรอุษาบุกรุกเข้าร้านแล้วฉ้อโกงลูกค้า,"[{'จิรอุษา':'[4,6]'}]"
yTEwt1HuHf,ขวัญอุดมณ์ฉ้อโกงบริษัทด้วยอีเมลปลอม,[{'ขวัญอุดมณ์':'[6]'}]
4M1n9k8O1r,จินตภาลอบบุกรุกเข้ามาในมหาวิทยาลัยและขโมยสมุดสำคัญออกไปอย่างไร้ร่องรอย,"[{'จินตภา':'[2,4]'}]"
Tj1BJCFSYq,จิตพรขโมยสินค้าจากร้านค้าท้องถิ่นด้วยการบุกรุกเข้ามาทางด้านหลัง ขณะที่กัญคณิชขโมยของออกจากตลาดนัด,"[{'จิตพร':'[2,4]'},{'กัญคณิช':'[2]'}]"
RhJ5BPwlb3,กฤรรัทบุกรุกเข้าไปในบ้านของเพื่อนและขโมยของมีค่าออกไป,"[{'กฤรรัท':'[2,4]'}]"
x2DXQwUBnN,ในงานเปิดตัวรถยนต์ใหม่ ณ ศูนย์นิทรรศการ แจคเกอรีนประมาทขับรถเร็วเกินกำหนดจนชนฝูงชนบริสุทธิ์ ทำให้หลายคนเสียชีวิต,"[{'แจคเกอรีน':'[3,7]'}]"
J468myxl7V,ก๋องคำผลักกษิดิ์พญาตกจากดาดฟ้าอาคารสูงจนเสียชีวิต,"[{'กษิดิ์พญา':'[1]'},{'ก๋องคำ':'[5,7]'}]"
amCxHmaLtv,กรัณวิณัฐขโมยของจากร้านค้าท้องถิ่นโดยบุกรุกเข้ามาทางด้านหลัง ขณะที่กุสนธ์ขโมยโทรศัพท์มือถือจากผู้โดยสาร,"[{'กรัณวิณัฐ':'[2,4]'},{'กุสนธ์':'[2]'}]"
g6x6qG6aMr,คูลริเห็นพระเอกละครถูกฆ่าตาย,[{'คูลริ':'[1]'}]
cPrPEzcSTq,จันต๊ะขับรถอย่างใจร้อนในงานเทศกาลและชนกับรถส่วนตัวที่มีผู้โดยสารบริสุทธิ์ จนอุบัติเหตุรุนแรงทำให้หลายชีวิตสูญเสีย,"[{'จันต๊ะ':'[3,7]'}]"
rOdK0b3T7E,เง็กเหี้ยงขับรถเมาแล้วชนคนเดินเท้าในงานเทศกาล ส่งผลให้ผู้เข้าร่วมได้รับบาดเจ็บ,[{'เง็กเหี้ยง':'[3]'}]
MODFlEV3PW,จุฬาพันใช้รถโฟล์คลิฟท์โดยไม่มีใบอนุญาต ชนพนักงานเสียชีวิต,"[{'จุฬาพัน':'[3,7]'}]"
IZgcxbN5Tj,จิรธิปลืมล็อกบานหน้าต่างโรงเรียน ทำให้พัดลมเพดานหลุดร่วงลงมา,[{'จิรธิป':'[3]'}]
TVl32ifA12,แก้วประครองไม่เก็บเศษวัสดุก่อสร้างไว้ให้เรียบร้อย ทำให้กมลไพศาลเดินสะดุดล้มบาดเจ็บ,"[{'แก้วประครอง':'[3]'},{'กมลไพศาล':'[1]'}]"
hdCOTdug2I,เกล็ดไพฑูรย์ขับรถเมาแล้วชนกับรถบรรทุก ส่งผลให้โครงสร้างรถได้รับความเสียหายรุนแรง,[{'เกล็ดไพฑูรย์':'[3]'}]
r2mPNVbv1R,จอลน์จงใจทำให้เครื่องบินดับเครื่องกลางอากาศเป็นเหตุให้เกิดอุบัติเหตุ ขณะที่จีรณินทร์ที่มาจากไหนก็ไม่รู้ลักชิ้นส่วนอุปกรณ์นักบิน,"[{'จอลน์':'[5,7]'},{'จีรณินทร์':'[2]'}]"
25u5Tk5LU8,กฤตย์ธวัชทำความสะอาดบ้านของตนเอง,[{'กฤตย์ธวัช':'[1]'}]
xHa8QzA1QQ,แก้วสุวรรณ จงใจตัดสายเบรครถยนต์ของจักรพรหม ผู้เป็นสามี หลังจากทำประกันอุบัติเหตุไว้ ทำให้จักรพรหม ชนเข้ากับฆฤณา ที่กำลังเดินเมาอยุ่ข้างทาง,"[{'แก้วสุวรรณ':'[5,7]'},{'จักรพรหม':'[1]'},{'ฆฤณา':'[1]'}]"
dem0WGjUrf,ง่วยกีขโมยรถยนต์จากที่จอดรถของเจ้าหน้าที่ในอาคาร โดยการเข้าไปแบบไม่ได้รับอนุญาต,"[{'ง่วยกี':'[2,4]'}]"
lCcrMmSGAl,กัญลักษณ์เดินชมงานนิทรรศการศิลปะ,[{'กัญลักษณ์':'[1]'}]
OV118atrJw,ขรินทร์ใช้มีดข่มขู่และชิงทรัพย์ในตลาด,"[{'ขรินทร์':'[2,5]'}]"
hvDK1SfK7D,จุลฬาวางของหนักบนชั้นไม่มั่นคงในโรงเรียน ทำให้ชั้นล้มใส่นักเรียนเสียชีวิต,"[{'จุลฬา':'[3,7]'}]"
fh6flUfluL,จิตรจริยาขับรถเร็วเกินกำหนดในเขตชุมชน ขณะที่กัณญาภรณ์ซึ่งเมาแล้วขับ มาจากอีกทางหนึ่ง ทั้งสองรถชนกันกลางสี่แยก ทำให้คนเดินถนนได้รับบาดเจ็บสาหัส,"[{'จิตรจริยา':'[3]'},{'กัณญาภรณ์':'[3]'}]"
O9bXkYanOx,กฤติรัตนากรขโมยของจากรถไฟฟ้าและบุกรุกเข้าที่จอดรถพนักงาน,"[{'กฤติรัตนากร':'[2,4]'}]"
Df4U8pt1RP,ขะนิฐาใช้ระเบิดทำเองขว้างใส่กลุ่มคนในร้านอาหารจนมีผู้เสียชีวิต,"[{'ขะนิฐา':'[5,7]'}]"
853mVWVitd,กิติสุขยิงปืนใส่กัญชฎาณัฐระหว่างที่เธอกำลังโทรศัพท์อยู่หน้าบ้าน กระสุนทะลุหัวใจทำให้เสียชีวิต,"[{'กิติสุข':'[5,7]'},{'กัญชฎาณัฐ':'[1]'}]"
yTslriKuAo,กิตติวุฒิ์ขโมยกระเป๋าจากรถแท็กซี่ในขณะที่บุกรุกเข้ามาในลานจอด,"[{'กิตติวุฒิ์':'[2,4]'}]"
1mr4mlsqSC,กุลสวัสดิ์ขับรถประมาทชนร้านสะดวกซื้อจนพัง ขณะจีลาขู่ชิงเงินจากพนักงานที่ตกใจ,"[{'กุลสวัสดิ์':'[3]'},{'จีลา':'[2,5]'}]"
qfFwLxwXPH,โจ้ขโมยสินค้าจากห้างสรรพสินค้าด้วยการบุกรุกเข้ามาทางด้านหลัง และแคทธีรยาฉ้อโกงเงินผ่านระบบออนไลน์,"[{'โจ้':'[2,4]'},{'แคทธีรยา':'[6]'}]"
C1OR1kc81L,จัลลาขโมยเงินจากตู้อัตโนมัติ,[{'จัลลา':'[2]'}]
yjIKnSBwPZ,เกศพรสร้างเพจปลอมอ้างว่าเป็นร้านดังเพื่อหลอกให้ลูกค้าโอนเงินซื้อสินค้า,[{'เกศพร':'[6]'}]
RYsnvS9GJ1,กัลญนันต์ฉ้อโกงเงินจากลูกค้าผ่านระบบออนไลน์ด้วยเอกสารปลอม ขณะที่กิมโอ้วใช้มีดโจมตีผู้คนในงานเลี้ยง,"[{'กัลญนันต์':'[6]'},{'กิมโอ้ว':'[5]'}]"
VYrfGXnqnD,กันต์กนิตษ์ขับรถเมาแล้วชนคนเดินในซอยทำให้หลายคนได้รับบาดเจ็บ,[{'กันต์กนิตษ์':'[3]'}]
qc7hHQOlEi,ก้วยคิ้มอ่านภาษาไทย เกี่ยวกับลักษณะนาม,[{'ก้วยคิ้ม':'[1]'}]
DLuxKyQL5c,กรภาคยิงปืนข่มขู่จิณณ์พิศุทธในห้าง,"[{'กรภาค':'[5]'},{'จิณณ์พิศุทธ':'[1]'}]"
uSgOw35akA,จีราพัชร์ขโมยของจากร้านอาหารในคืนวันหยุดด้วยการแอบเข้ามาทางหน้าต่าง ขณะที่เข็มวิกาใช้ปืนข่มขู่ผู้เข้าร่วมงาน,"[{'จีราพัชร์':'[2,4]'},{'เข็มวิกา':'[5]'}]"
EvvP5gl6wt,คุปตชาบุกรุกบ้านคนกลางดึก ขณะการ์วินทน์ลักทรัพย์สินภายในบ้าน ส่วน จิรัฎฐ์อรช่วยอำนวยความสะดวกในการขนของ,"[{'คุปตชา':'[2,4]'},{'การ์วินทน์':'[2,4]'},{'จิรัฎฐ์อร':'[2,4]'}]"
kDIlWbCZND,กิจธนาบุกรุกเข้าร้านกาแฟและขโมยเงินทอนจากลิ้นชัก,"[{'กิจธนา':'[2,4]'}]"
LKSBUzE1pq,เกท์ษีใช้ปืนข่มขู่เจ้าหน้าที่ธนาคารและปล้นเงิน ขณะจีรวรรนยิงคนขับรถหลบหนีจนเสียชีวิต,"[{'เกท์ษี':'[2,5]'},{'จีรวรรน':'[5,7]'}]"
UxMvERztc7,จิระทีปขโมยเงินจากกระเป๋าจุฬาศิริบนตลาดที่คึกคัก,"[{'จิระทีป':'[2]'},{'จุฬาศิริ':'[1]'}]"
4oW757GgAB,จักรภาณุไม่ล็อกล้อรถบรรทุก ทำให้รถไหลทับผู้ช่วยลงของเสียชีวิต,"[{'จักรภาณุ':'[3,7]'}]"
Xr9KzLbkGk,แก้วมรกตมีสมุดโน๊ตวิเศษที่สามารถฆ่าคนได้ด้วยการเขียนชื่อของคนที่ต้องการฆ่าและมันคือของจริง เขาเจตนาเขียนชื่อของกัญประภาที่กำลังทำร้ายร่างกายขวัญฐิมาต่อจากนั้นอีก 6 นาที กัญประภาก็เสียชีวิตด้วยอาการหัวใจวายเฉียบพลันจากหนังสือเล่มนั้น,"[{'กัญประภา':'[1]'},{'แก้วมรกต':'[5,7]'},{'ขวัญฐิมา':'[1]'}]"
7t4M9S8Hm8,จรัสเดือนกับกาญจน์พสุทะเลาะวิวาทที่ร้านอาหาร แต่จรัสเดือนใช้มีดแทงจนทำให้กาญจน์พสุเสียชีวิต,"[{'กาญจน์พสุ':'[1]'},{'จรัสเดือน':'[5,7]'}]"
KWiiQvY9df,เกศศิริปล่อยให้เด็กอายุ 13 ปีขับรถกระบะบนถนนหลวง จนเด็กขับชนคนข้ามทางม้าลายเสียชีวิต,"[{'เกศศิริ':'[3,7]'}]"
tYXjZwDzkD,เจษฎาร์ปลอมแปลงบัญชีธนาคารเพื่อโอนเงินฉ้อโกง ขณะที่จุวรแอบบุกลักลอบขโมยแฟ้มสำคัญจากตู้เซฟ,"[{'เจษฎาร์':'[6]'},{'จุวร':'[2,4]'}]"
aQjm4lttfl,กันญาลัสลอบเข้าไปในอพาร์ตเมนต์ของกันปภาและทำร้ายเธอจนใบหน้าบวมช้ำ โดยไม่มีการเสียชีวิต,"[{'กันปภา':'[1]'},{'กันญาลัส':'[4,5]'}]"
p2nBfUpjRJ,คมน์พัฒนขโมยกระเป๋าสตางค์จากผู้โดยสารในรถไฟฟ้าแล้ววิ่งหนี,[{'คมน์พัฒน':'[2]'}]
2XxaEkwgEJ,จุตินันท์เดินบุกรุกบ้านเจียมจิตแล้วขโมยของมีค่า,"[{'จุตินันท์':'[2,4]'},{'เจียมจิต':'[1]'}]"
RzSn6EQy1D,คำแพวหลอกขายเครื่องกรองน้ำปลอมให้ประชาชน ขณะที่กรนุชใช้ปืนสั้นข่มขู่ผู้ร้องเรียนให้ถอนแจ้งความเพราะตัวเขาเองก็ร่วมมือด้วย,"[{'คำแพว':'[6]'},{'กรนุช':'[5]'}]"
TpW6gyiuW7,ขชลขโมยบัตรเครดิตจากพนักงานธนาคารด้วยการบุกรุกเข้ามาในสาขายามค่ำคืน,"[{'ขชล':'[2,4]'}]"
izXu5s0RU3,ก้ามแก้วขับรถเมาแล้วชนรถแท็กซี่ ทำให้ทรัพย์สินเสียหาย,[{'ก้ามแก้ว':'[3]'}]
BMzIewFQVL,จิรวิชญขับรถเมาแล้วชนคนเดินเท้าในงานเทศกาล ทำให้มีผู้บาดเจ็บ,[{'จิรวิชญ':'[3]'}]
bo4MlXpxxv,คอลีลแวะซื้อของจากร้านขายของชำ,[{'คอลีล':'[1]'}]
G0aNMWz6eP,คนหยี่ปล่อยให้เครื่องจักรเก่าทำงานต่อเนื่องจนช็อตและเกิดไฟไหม้,[{'คนหยี่':'[3]'}]
oiFmcntBfv,จีรญาขับรถเมาแล้วชนกับรถในย่านชุมชน ทำให้เกิดอุบัติเหตุรุนแรง,[{'จีรญา':'[3]'}]
yPlBjstyR0,กุ๊ยจูจัดการชิงทรัพย์ชายคนหนึ่งบนสถานีรถไฟด้วยการใช้ความรุนแรง ดึงกระเป๋าเงินจากเขาออกมาโดยตรง,"[{'กุ๊ยจู':'[2,5]'}]"
Ecq99AlkzR,กรินทร์พลไม่เช็คแรงดันก่อนเปิดวาล์ว ทำให้ถังไอน้ำระเบิด,[{'กรินทร์พล':'[3]'}]
H1gDZfwRUg,คำโชคทิ้งสารเคมีอันตรายลงในบ่อพักน้ำโดยไม่รู้ตัว ทำให้คนใช้น้ำเสียชีวิต,"[{'คำโชค':'[3,7]'}]"
P3zZZakuiK,กางวาลและจีฬารัตน์ร่วมกันเปิดร้านขายกาแฟเล็กๆในชุมชน โดยยึดหลัก Zero Waste และใช้วัตถุดิบจากเกษตรกรในพื้นที่,"[{'กางวาล':'[1]'},{'จีฬารัตน์':'[1]'}]"
GyRDaFP9Qz,ในมหาวิทยาลัยที่มีนักศึกษาและคณาจารย์อยู่กัน จิตรรวีลอบบุกรุกเข้าไปในห้องสมุดและขโมยหนังสือหายาก ในขณะที่ขอดเป็นพยานซึ่งไม่มีส่วนเกี่ยวข้อง,"[{'จิตรรวี':'[2,4]'},{'ขอด':'[1]'}]"
BXdtBqVOhM,จินดารัตนขับรถเมาแล้วชนกันในงานแข่งขัน รถยนต์เสียหายและมีผู้บาดเจ็บ,[{'จินดารัตน':'[3]'}]
ZZ6CGxXETv,เกียรติวุธใช้มีดข่มขู่และยิงฆ่าผู้คนในตลาดกลางคืน,"[{'เกียรติวุธ':'[5,7]'}]"
2IxhYlBIWy,งักเกียงลอบบุกรุกร้านอาหารขณะปิดทำการและขโมยเงินสดจากตู้อัตโนมัติ,"[{'งักเกียง':'[2,4]'}]"
3Rfjav87TL,กลัดเข้าร่วมงานเทศกาลที่มีการจัดแสดงสินค้าและในขณะเดียวกันได้แอบขโมยของออกจากงานอย่างชัดแจ้ง จากนั้นขับรถออกจากงานด้วยความประมาทจนชนกับรถบรรทุกและทำให้มีผู้โดยสารเสียชีวิต,"[{'กลัด':'[2,3,7]'}]"
qmG0NU3DBd,เข็งขโมยเงินจากตู้อัตโนมัติในห้างกลางคืน,[{'เข็ง':'[2]'}]
Dsch3FDxd4,กิมอั้วทิ้งเศษแก้วแตกไว้บนฟุตบาทโดยไม่เก็บ ทำให้เก๋าเหยียบจนเท้าได้รับบาดเจ็บ,"[{'กิมอั้ว':'[3]'},{'เก๋า':'[1]'}]"
MRxqBvRsX0,เควิลขโมยเครื่องประดับจากร้านในห้าง,[{'เควิล':'[2]'}]
bIrlswAbCu,กมลกิจหลอกชาวบ้านร่วมลงทุนโครงการปลอม และขู่ฆ่าผู้ที่ร้องเรียน ส่วนกรสกุลบุกรุกเข้าอาคารเพื่อลบเอกสาร,"[{'กมลกิจ':'[5,6]'},{'กรสกุล':'[4]'}]"
tOcMhwUcIV,จงภิวัฒน์กับกัณฑ์กณิษฐ์ลอบบุกรุกธนาคารในยามค่ำคืนและขโมยเงินสดจำนวนมาก ก่อนหนีทันที,"[{'จงภิวัฒน์':'[2,4]'},{'กัณฑ์กณิษฐ์':'[2,4]'}]"
zplfIgiUjO,จินณรีขโมยของจากห้างใหญ่ในเวลาปิดร้าน,"[{'จินณรี':'[2,4]'}]"
FB5rwDSNp6,กฤตพัณณ์รัดคอกิตยาพันธ์ด้วยสายเข็มขัดนิรภัยในรถยนต์ขณะจอดอยู่ที่ลานร้าง ทำให้เธอเสียชีวิตอย่างเงียบงัน,"[{'กฤตพัณณ์':'[5,7]'},{'กิตยาพันธ์':'[1]'}]"
0517U0HKDc,ก๊กเตี้ยงและจงสถิตย์บุกรุกโกดังกลางดึก ลักทรัพย์เครื่องใช้ไฟฟ้า และใช้มีดขู่ยามรักษาความปลอดภัย,"[{'ก๊กเตี้ยง':'[2,4,5]'},{'จงสถิตย์':'[2,4,5]'}]"
euxcjMUOZ4,ในงานเลี้ยงกลางคืน ณ โรงแรมหรู กันตนัชใช้ปืนข่มขู่คู่แข่งในการเข้าถึงข้อมูลสำคัญและเปิดฉากยิงฆ่าทุกคนที่คัดค้าน,"[{'กันตนัช':'[5,7]'}]"
gyGUfv7OVt,จุ้งลอบบุกรุกเข้าหลังร้านชำแล้วขโมยสินค้าหลากหลายชนิดออกไปก่อนเจ้าของสังเกต,"[{'จุ้ง':'[2,4]'}]"
Bzbl8VqUPV,จิ๋วขับรถขนส่งพังทลายรั้วโรงเรียนเพราะเมาแล้วหลับใน ขณะที่กนินทร์ลักสร้อยคอจากกระเป๋านักเรียน,"[{'จิ๋ว':'[3]'},{'กนินทร์':'[2]'}]"
4f16B9hYmK,ขนิษฐกัญญาบุกรุกบ้านพักข้าราชการในช่วงค่ำและข่มขู่เจ้าของบ้านด้วยมีด ขณะที่กนกอนัญบุกรุกลักทรัพย์จากห้องนอน,"[{'ขนิษฐกัญญา':'[4,5]'},{'กนกอนัญ':'[2,4]'}]"
qtNGI2YpSZ,เกษรสุริยะและขวัญพัชรภาบุกบ้านของแก้วสมบูรณ์และขู่กรรโชกเงิน โดยใช้อาวุธปืนปลอมและทำร้ายแก้วสมบูรณ์จนได้รับบาดเจ็บ,"[{'แก้วสมบูรณ์':'[1]'},{'เกษรสุริยะ':'[2,4,5]'},{'ขวัญพัชรภา':'[2,4,5]'}]"
dxKEnW7BrV,คณิตกูลฉ้อโกงประชาชนในงานแฟร์ด้วยการปลอมตัวเป็นนักลงทุน และลอบขโมยเงินจากลูกค้าที่มาร่วมงาน,"[{'คณิตกูล':'[2,6]'}]"
SXlrGQcMz6,จิรพินเล่นสเกตบอร์ดในลานจอดรถโดยไม่ระวัง พุ่งชนรถของกิติภพที่จอดอยู่,"[{'จิรพิน':'[3]'},{'กิติภพ':'[1]'}]"
lRsraAnbYA,กุลวฤณโฆษณาเงินกู้ด่วน ส่วนจินต์นิภาแกล้งเป็นลูกค้าที่กู้สำเร็จภายในวันเดียว,"[{'กุลวฤณ':'[6]'},{'จินต์นิภา':'[6]'}]"
QirrDMYOug,ขันน้อยบุกรุกเข้าบ้านแล้วยิงฆ่าเจ้าของบ้าน,"[{'ขันน้อย':'[4,5,7]'}]"
oobTuoeNsU,จุฑาพัชรฉ้อโกงเงินจำนวนมากจากนักลงทุนในงานแสดงสินค้า,[{'จุฑาพัชร':'[6]'}]
TM0DLAOMvI,เกตุศจีบีบคอเจือจุนจนขาดอากาศหายใจและเสียชีวิต,"[{'เจือจุน':'[1]'},{'เกตุศจี':'[5,7]'}]"
yE7Javvuw0,กิจจาณัฏฐ์ทำหน้าเว็บไซต์ขายมือถือปลอม ส่วนกุณฑลรัตนแกล้งเป็นลูกค้าที่เคยซื้อแล้วมารีวิวหลอกลวง,"[{'กิจจาณัฏฐ์':'[6]'},{'กุณฑลรัตน':'[6]'}]"
CjD2VFnISk,กัญญสิรีลืมตรวจสอบความดันหม้อน้ำในโรงงาน ทำให้ระเบิดเสียชีวิต 2 ราย,"[{'กัญญสิรี':'[3,7]'}]"
RyqzcQ2K9f,ในงานสัมมนาสำคัญ ณ มหาวิทยาลัย ขนอมขวัญบุกรุกเข้าไปขโมยข้อมูลลับจากคอมพิวเตอร์ของอาจารย์ และในขณะหนีได้ยิงเจ้าหน้าที่รักษาความปลอดภัยที่มาสืบสวน,"[{'ขนอมขวัญ':'[2,4,5]'}]"
OFJwfnVHxt,โกติยะพ่นสีใกล้เปลวไฟโดยไม่ตั้งใจ ทำให้เกิดไฟลุก,[{'โกติยะ':'[3]'}]
sWuCRDbjNL,กัญชลาย์ขับรถเมาในถนนหลักจนชนรถแท็กซี่ที่บรรทุกผู้โดยสารบริสุทธิ์ ส่งผลให้มีหลายชีวิตสูญเสียไป,"[{'กัญชลาย์':'[3,7]'}]"
kNwKBAWbWs,กีรฏาและกุลณาสรลอบบุกรุกเข้าโรงเรียนตอนกลางคืนและขโมยสมุดบันทึกรายชื่อนักเรียนออกไป,"[{'กีรฏา':'[2,4]'},{'กุลณาสร':'[2,4]'}]"
JVFpy6IiyM,งามพรรณ์ใช้มีดข่มขู่คู่แข่งและชิงเอกสารสำคัญ,"[{'งามพรรณ์':'[2,5]'}]"
82hgznnhKs,กัลชรีกาเป็นไอดอลชื่อดัง มีภาพลักษณ์ดีงาม แต่ลอบฆ่าคารอลลิโอต้าซึ่งเป็นแฟนคลับที่รู้ความลับว่าเขาเคยทำร้ายแฟนเก่า โดยวางแผนให้เหมือนเธอฆ่าตัวตาย,"[{'กัลชรีกา':'[5,7]'},{'คารอลลิโอต้า':'[1]'}]"
l3kXXVzJAw,กวิฎขับรถเมาชนรถที่จอดอยู่หน้างานเลี้ยงจนเกิดความวุ่นวาย,[{'กวิฎ':'[3]'}]
